,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
85,合庫三重,10.0,1.0,9.0,107.0,107.0,第一新興,3.06,16.0,-12.94,107.33,107.03
86,中信中壢,29.02,20.1,8.93,107.28,107.15,玉山城中,4.0,16.64,-12.64,107.75,107.1
87,日盛新莊,18.1,9.35,8.75,107.3,107.39,元大左營,11.0,23.52,-12.52,107.45,107.05
88,元大南屯,9.5,1.0,8.5,107.05,107.5,日盛嘉義,0.0,12.0,-12.0,,107.08
89,永豐三重,10.5,2.04,8.46,107.59,107.25,元富佳里,2.1,14.0,-11.9,107.02,107.04
90,新光桃園,26.39,18.15,8.24,107.12,107.47,大昌新店,10.0,21.7,-11.7,107.1,107.07
91,統一台南,10.1,2.0,8.1,107.0,106.75,元大成功,4.0,15.66,-11.66,107.38,107.48
92,日盛頭份,13.05,5.0,8.05,107.31,106.9,國泰台中,53.16,64.47,-11.31,107.48,107.06
93,新光台南,20.17,12.13,8.04,107.2,107.29,統一中壢,8.0,19.02,-11.02,107.56,107.13
94,國票天祥,12.02,4.0,8.02,107.33,107.38,統一新竹,0.02,11.04,-11.02,107.5,107.0
95,國泰桃園,17.17,9.17,8.0,106.91,107.49,永豐北高,3.1,14.07,-10.97,107.15,106.64
96,永豐羅東,11.0,3.0,8.0,107.09,107.5,土銀新竹,1.05,12.0,-10.95,107.98,107.5
97,兆豐城中,8.0,0.0,8.0,107.69,,元富潮洲,3.05,14.0,-10.95,107.5,107.0
98,兆豐岡山,11.0,3.0,8.0,107.18,107.0,永豐萬盛,25.52,36.3,-10.78,107.47,107.59
99,元大北屯,12.0,4.2,7.8,107.67,107.26,台新中壢,0.0,10.53,-10.53,,107.0
100,元大斗六,11.5,4.0,7.5,107.36,107.0,元大中港,8.06,18.56,-10.5,107.62,106.76
101,玉山新竹,8.25,1.0,7.25,107.43,107.0,玉山台中,5.05,15.42,-10.37,107.5,107.08
102,玉山雙和,9.14,2.0,7.14,107.01,107.5,元富宜蘭,1.0,11.0,-10.0,107.5,107.0
103,元富嘉義,9.23,2.1,7.13,107.28,107.0,群益海山,5.0,15.0,-10.0,107.2,107.1
104,玉山南京,19.11,12.0,7.11,107.18,107.42,國票彰化,0.0,10.0,-10.0,,107.0
105,致和佳里,18.0,10.91,7.09,107.56,107.0,永豐台南,4.16,14.1,-9.94,107.01,107.43
106,國票安和,24.0,17.0,7.0,107.29,107.29,富邦嘉義,6.11,16.04,-9.93,107.41,107.06
107,陽信,9.0,2.0,7.0,107.56,107.0,統一彰化,610.2,620.05,-9.85,107.34,107.5
108,大昌安康,8.0,1.0,7.0,107.19,107.0,富邦花蓮,2.15,12.0,-9.85,107.5,107.08
109,華南小港,9.0,2.0,7.0,107.5,107.5,國泰板橋,47.25,57.08,-9.83,107.48,107.14
110,凱基城中,10.05,3.1,6.95,107.55,107.0,大展,2.33,12.0,-9.67,107.0,107.46
111,元大大安,8.02,1.1,6.92,107.62,107.95,元大蘆洲,7.1,16.6,-9.49,107.77,107.06
112,永豐敦南,10.03,3.2,6.83,107.65,107.17,康和台中,9.0,18.44,-9.44,106.89,107.53
113,?亞網路,14.0,7.21,6.79,107.43,106.51,第一頭份,1.1,10.2,-9.1,107.05,107.01
114,富邦北港,8.35,1.8,6.55,107.6,107.22,群益台南,0.9,10.0,-9.1,107.44,107.1
115,元大天母,9.01,2.5,6.51,107.28,107.2,兆豐竹北,0.0,9.1,-9.1,,107.49
116,群益延平,12.5,6.08,6.42,107.2,107.0,元大北港,2.01,11.1,-9.09,107.25,107.23
117,元大上新,13.2,6.83,6.37,106.99,107.57,元大大里,7.14,16.15,-9.01,107.78,107.13
118,元大太平,10.19,4.0,6.18,107.1,107.37,宏遠館前,1.0,10.0,-9.0,107.0,107.0
119,群益屏東,6.03,0.0,6.03,107.58,,元大館前,10.12,19.1,-8.98,107.55,107.0
120,統一內湖,7.0,1.0,6.0,107.5,108.0,統一宜蘭,1.1,10.0,-8.9,107.0,106.6
121,元富古亭,7.0,1.0,6.0,107.14,107.5,富邦仁愛,14.26,23.08,-8.81,107.32,107.23
122,凱基八德,6.0,0.0,6.0,107.0,,華南台中,4.26,13.01,-8.75,107.25,107.38
123,台新新莊,14.0,8.0,6.0,107.71,107.12,富邦三重,6.31,15.03,-8.72,107.48,107.07
124,群益士林,8.0,2.05,5.95,107.31,107.5,富邦新竹,31.38,40.08,-8.7,107.12,107.04
125,元大學府,8.0,2.09,5.91,107.12,107.0,元大土城,0.31,8.78,-8.47,107.0,107.03
126,國泰忠孝,7.14,1.26,5.88,107.57,107.0,永豐松山,125.1,133.56,-8.46,107.69,107.46
127,聯邦興中,10.34,5.0,5.34,107.0,107.5,中信託新,162.55,171.0,-8.45,107.25,107.23
128,元大台中,11.33,6.02,5.3,107.0,106.84,玉山大里,3.4,11.79,-8.39,107.15,107.3
129,元大城東,18.32,13.07,5.25,107.06,107.08,統一台中,6.0,14.34,-8.34,107.08,107.63
130,永豐桃園,15.5,10.35,5.15,107.08,107.11,大昌樹林,1.02,9.3,-8.28,107.0,106.95
131,日盛忠孝,8.03,3.0,5.03,107.19,107.5,美好楊梅,2.0,10.1,-8.1,107.5,107.05
132,光和田中,5.0,0.0,5.0,107.6,,永豐虎尾,3.0,11.0,-8.0,107.67,107.45
133,第一桃園,8.0,3.0,5.0,107.12,107.0,企銀太平,2.0,10.0,-8.0,107.0,107.0
134,元大古亭,8.0,3.0,5.0,107.5,107.0,凱基市府,1.0,9.0,-8.0,107.0,107.22
135,大昌,8.0,3.0,5.0,107.31,107.33,華南鳳山,4.0,12.0,-8.0,107.88,107.21
136,群益台中,15.0,10.0,5.0,107.57,106.95,國票台中,3.0,11.0,-8.0,107.0,107.45
137,永全,8.0,3.0,5.0,107.19,106.83,永豐新店,4.0,12.0,-8.0,107.12,107.75
138,永興大墩,22.0,17.0,5.0,107.09,107.35,凱基中港,2.11,10.1,-7.99,107.71,107.79
139,永豐嘉義,5.0,0.0,5.0,107.0,,元大花蓮,6.24,14.2,-7.96,107.41,107.14
140,日盛三峽,5.0,0.0,5.0,107.0,,群益古亭,2.15,10.1,-7.95,107.92,107.0
141,群益鳳山,9.0,4.0,5.0,107.0,107.38,亞東板橋,5.4,13.0,-7.6,107.96,107.5
142,華南林口,7.16,2.25,4.91,107.43,107.22,兆豐天母,0.0,7.4,-7.4,,106.93
143,臺銀鳳山,22.23,17.49,4.74,107.58,107.13,華南彰化,2.0,9.3,-7.3,108.0,107.16
144,凱基埔墘,4.55,0.0,4.55,107.0,,永豐潮州,0.0,7.14,-7.14,,107.07
145,統一汐止,7.4,3.0,4.4,107.57,107.17,永豐高雄,1.04,8.12,-7.08,107.0,107.07
146,中信三重,9.2,5.0,4.2,107.61,107.0,元富板橋,2.01,9.05,-7.04,107.0,107.06
147,元大桃興,5.19,1.0,4.19,107.39,107.5,元富新店,2.01,9.03,-7.02,107.25,107.94
148,永豐敦北,6.14,2.0,4.14,107.24,107.0,凱基永和,1.01,8.0,-6.99,108.0,107.12
149,國票新莊,4.1,0.0,4.1,107.49,,元大竹北,1.05,8.0,-6.95,107.5,107.81
150,華南台南,8.1,4.0,4.1,107.12,107.0,華南斗六,0.06,7.0,-6.94,107.0,106.71
151,臺銀臺南,10.1,6.04,4.06,107.1,107.09,京城,4.1,11.0,-6.9,107.38,107.27
152,中信託忠,15.06,11.0,4.06,107.47,107.18,統一基隆,5.2,12.0,-6.8,107.2,107.54
153,德信中正,11.0,6.98,4.02,107.09,107.43,元大汐止,12.29,19.0,-6.71,107.28,106.97
