序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,"賣出股數"
277,大展,107.00,2330,1000,,278,大展,107.50,0,11000 
279,大展台南,107.50,40000,1000,,280,美好蘆洲,107.00,8200,7000 
281,美好蘆洲,107.50,101,0,,282,美好楊梅,107.00,1000,9100 
283,美好楊梅,107.50,0,1000,,284,美好楊梅,108.00,1000,0 
285,美好泰山,107.00,2000,0,,286,美好泰山,107.50,0,100 
287,美好高雄,107.00,100,1000,,288,美好苗栗,107.00,0,50 
289,美好苗栗,107.50,1000,0,,290,美好中壢,107.00,8000,0 
291,美好中壢,107.50,0,5000,,292,美好中壢,108.00,1000,0 
293,美好基隆,107.00,2000,2000,,294,美好中和,107.00,0,2000 
295,美好中和,107.50,4,0,,296,美好富順,106.50,0,2000 
297,美好富順,107.00,1000,4000,,298,美好富順,107.50,1,10000 
299,美好富順,108.00,2000,0,,300,高橋,106.50,0,9000 
301,高橋,107.00,1000,15200,,302,高橋,107.50,3000,1000 
303,高橋,108.00,2000,0,,304,高橋龍潭,107.00,7000,5000 
305,高橋龍潭,107.50,0,2000,,306,高橋龍潭,108.00,0,1000 
307,高橋中壢,107.00,1000,1112,,308,高橋內壢,107.00,0,2000 
309,高橋內壢,108.00,2000,0,,310,第一金證,107.00,0,1000 
311,第一金證,107.50,1000,551,,312,第一金證,108.00,0,1000 
313,第一金證,108.50,1000,0,,314,第一員林,107.00,1029,2000 
315,第一員林,107.50,0,3000,,316,第一員林,108.00,1000,0 
317,第一台中,107.00,0,1100,,318,第一高雄,106.50,1000,0 
319,第一高雄,107.00,4200,7000,,320,第一高雄,107.50,304,3000 
321,第一高雄,108.00,4000,0,,322,第一台南,107.00,100,7000 
323,第一台南,107.50,3010,14050,,324,第一桃園,107.00,6000,3000 
325,第一桃園,107.50,2000,0,,326,第一彰化,106.50,0,1000 
327,第一彰化,107.00,1000,1000,,328,第一彰化,107.50,0,100 
329,第一澎湖,107.00,2000,4010,,330,第一澎湖,107.50,0,1000 
331,第一中山,106.50,0,5000,,332,第一中山,107.00,1200,0 
333,第一中山,107.50,3000,0,,334,第一新興,107.00,1030,15000 
335,第一新興,107.50,2030,1000,,336,第一新竹,106.50,0,1000 
337,第一新竹,107.00,2000,2000,,338,第一新竹,107.50,2000,0 
339,第一光復,107.00,20,2000,,340,第一光復,107.50,200,1000 
341,第一忠孝,107.00,3000,2000,,342,第一忠孝,107.50,2000,0 
343,第一自由,107.00,2030,3050,,344,第一自由,107.50,0,1000 
345,第一稻埕,107.00,1000,1000,,346,第一稻埕,107.50,4000,2000 
347,第一頭份,107.00,1000,10000,,348,第一頭份,107.50,100,200 
349,第一安和,107.00,13000,0,,350,第一安和,107.50,2000,0 
351,第一嘉義,107.00,1000,0,,352,第一嘉義,108.00,1000,1000 
353,第一豐原,107.00,200,0,,354,第一路竹,107.00,275,1000 
355,第一路竹,107.50,1000,0,,356,第一路竹,108.00,1000,0 
357,第一華江,107.00,11000,20000,,358,第一華江,107.50,4000,0 
359,第一中壢,107.00,3000,0,,360,第一中壢,107.50,1010,11000 
361,第一中壢,108.00,2000,0,,362,寶盛,107.00,1000,0 
363,寶盛,107.50,1000,0,,364,永興,107.00,0,3000 
